link_id,from_node_id,to_node_id,Date,FT,AT,period,vol_period,vol_period_hourly,speed_period,density_period,t0,t3,Demand,avg_discharge_rate,peak_hour_factor,congestion_period,VOC_period,VOC,alpha,beta,VDF_TYPE,alpha_day,beta_day
137,1,2,2/18/2016,0,0,0900_1400,3939.0,787.8,70.58333333249999,11.190020143798955,0,0,861.0,596.0,4.574912891986063,0.25,0.6005280241140454,0.4141266606499699,0.15,4.87,0,0.32,2.7
137,1,2,2/19/2016,0,0,0900_1400,4346.0,869.2,68.4333333325,12.94887628870956,19,19,780.0,888.0,5.5717948717948715,0.25,0.6005280241140454,0.3751670096480564,0.15,4.87,0,0.32,2.7
137,1,2,2/2/2016,0,0,0900_1400,3150.0,630.0,70.2999999995,8.994736054244054,0,0,818.0,588.0,3.8508557457212715,0.25,0.6005280241140454,0.3934443767847565,0.15,4.87,0,0.32,2.7
137,1,2,2/20/2016,0,0,0900_1400,4761.0,952.2,68.349999999,14.250446012790519,14,15,1233.0,1248.0,3.8613138686131387,0.5,0.6005280241140454,0.5930524652513507,0.15,4.87,0,0.32,2.7
137,1,2,2/21/2016,0,0,0900_1400,3477.0,695.4,72.15,9.641508104573166,0,0,509.0,448.0,6.831041257367387,0.25,0.6005280241140454,0.24482052296264192,0.15,4.87,0,0.32,2.7
137,1,2,2/22/2016,0,0,0900_1400,3478.0,695.6,71.06666666600002,9.798729520083288,0,0,728.0,528.0,4.777472527472527,0.25,0.6005280241140454,0.3501558756715193,0.15,4.87,0,0.32,2.7
137,1,2,2/23/2016,0,0,0900_1400,3485.0,697.0,69.5833333325,10.011711603449687,0,0,683.0,512.0,5.102489019033675,0.25,0.6005280241140454,0.3285116251149006,0.15,4.87,0,0.32,2.7
137,1,2,2/24/2016,0,0,0900_1400,3649.0,729.8,70.8166666665,10.327401886834284,0,0,819.0,616.0,4.455433455433456,0.25,0.6005280241140454,0.3939253601304592,0.15,4.87,0,0.32,2.7
137,1,2,2/25/2016,0,0,0900_1400,4241.0,848.2,70.5499999995,12.029618757858339,0,0,693.0,656.0,6.11976911976912,0.25,0.6005280241140454,0.333321458571927,0.15,4.87,0,0.32,2.7
137,1,2,2/26/2016,0,0,0900_1400,4441.0,888.2,70.2333333335,12.675723016504765,0,0,905.0,680.0,4.907182320441989,0.25,0.6005280241140454,0.43528992786088594,0.15,4.87,0,0.32,2.7
137,1,2,2/27/2016,0,0,0900_1400,4820.0,964.0,71.333333334,13.52997590950875,0,0,1224.0,564.0,3.9379084967320264,0.25,0.6005280241140454,0.5887236151400269,0.15,4.87,0,0.32,2.7
137,1,2,2/28/2016,0,0,0900_1400,3631.0,726.2,72.116666667,10.070537102736278,0,0,550.0,420.0,6.601818181818182,0.25,0.6005280241140454,0.26454084013645,0.15,4.87,0,0.32,2.7
137,1,2,2/29/2016,0,0,0900_1400,3615.0,723.0,70.9833333335,10.191543833933036,0,0,594.0,568.0,6.085858585858586,0.25,0.6005280241140454,0.285704107347366,0.15,4.87,0,0.32,2.7
137,1,2,2/3/2016,0,0,0900_1400,3123.0,624.6,71.033333333,8.793120138624356,0,0,499.0,504.0,6.258517034068136,0.25,0.6005280241140454,0.24001068950561555,0.15,4.87,0,0.32,2.7
137,1,2,2/4/2016,0,0,0900_1400,3632.0,726.4,70.6166666675,10.29249225236978,0,0,822.0,544.0,4.418491484184915,0.25,0.6005280241140454,0.39536831016756707,0.15,4.87,0,0.32,2.7
137,1,2,2/6/2016,0,0,0900_1400,3910.0,977.5,69.7291666675,14.128070565886977,0,0,1175.0,484.0,3.3276595744680852,0.25,0.6005280241140454,0.5651554312005977,0.15,4.87,0,0.32,2.7
137,1,2,2/7/2016,0,0,0900_1400,2875.0,575.0,72.416666666,7.938001327919913,0,0,433.0,336.0,6.63972286374134,0.25,0.6005280241140454,0.20826578868924156,0.15,4.87,0,0.32,2.7
137,1,2,2/8/2016,0,0,0900_1400,3540.0,708.0,71.66666666649999,9.881250926851981,0,0,627.0,636.0,5.645933014354067,0.25,0.6005280241140454,0.301576557755553,0.15,4.87,0,0.32,2.7
137,1,2,2/9/2016,0,0,0900_1400,3277.0,655.4,71.199999999,9.206000375064416,0,0,555.0,520.0,5.904504504504504,0.25,0.6005280241140454,0.2669457568649632,0.15,4.87,0,0.32,2.7
139,7,8,1/1/2016,0,0,0900_1400,5526.0,1105.2,74.5666666665,14.82561832433775,0,0,1363.0,1436.0,4.0542920029347025,0.25,0.6005280241140454,0.6555803001926934,0.15,4.87,0,0.32,2.7
139,7,8,1/10/2016,0,0,0900_1400,5893.0,1178.6,74.133333334,15.954027918110418,0,0,1103.0,692.0,5.342701722574796,0.25,0.6005280241140454,0.530524630310008,0.15,4.87,0,0.32,2.7
139,7,8,1/11/2016,0,0,0900_1400,8878.0,1775.6,54.383333334,36.589219713372295,14,19,2723.0,1815.3333333333333,3.260374586852736,1.5,0.6005280241140454,1.3097176503482788,0.15,4.87,0,0.32,2.7
139,7,8,1/12/2016,0,0,0900_1400,8879.0,1775.8,69.14999999950001,25.788109029718054,0,0,2040.0,2012.0,4.352450980392157,0.25,0.6005280241140454,0.9812060252333782,0.15,4.87,0,0.32,2.7
139,7,8,1/13/2016,0,0,0900_1400,8479.0,1695.8,69.783333332,24.40813747647596,0,0,1979.0,2212.0,4.284487114704397,0.25,0.6005280241140454,0.9518660411455173,0.15,4.87,0,0.32,2.7
139,7,8,1/14/2016,0,0,0900_1400,8896.0,1779.2,60.049999999,32.558772335241756,0,3,1792.0,1792.0,4.964285714285714,1.0,0.6005280241140454,0.8619221554991243,0.15,4.87,0,0.32,2.7
139,7,8,1/15/2016,0,0,0900_1400,9412.0,1882.4,44.74999999949999,46.161610622155614,6,19,6465.0,1847.142857142857,1.4558391337973704,3.5,0.6005280241140454,3.109557329967544,0.15,4.87,0,0.32,2.7
139,7,8,1/16/2016,0,0,0900_1400,9224.0,1844.8,57.999999999500005,34.9448383755558,9,12,1793.0,1780.0,5.144450641383156,1.0,0.6005280241140454,0.862403138844827,0.15,4.87,0,0.32,2.7
139,7,8,1/17/2016,0,0,0900_1400,7028.0,1405.6,73.033333334,19.31757923262874,0,0,1722.0,728.0,4.08130081300813,0.25,0.6005280241140454,0.8282533212999398,0.15,4.87,0,0.32,2.7
139,7,8,1/18/2016,0,0,0900_1400,7781.0,1556.2,72.19999999950001,21.583444448813896,0,0,1836.0,1064.0,4.2380174291939,0.25,0.6005280241140454,0.8830854227100404,0.15,4.87,0,0.32,2.7
139,7,8,1/19/2016,0,0,0900_1400,8641.0,1728.2,69.93333333199999,24.876172008977477,0,0,2174.0,2144.0,3.9747010119595214,0.25,0.6005280241140454,1.0456577935575315,0.15,4.87,0,0.32,2.7
139,7,8,1/2/2016,0,0,0900_1400,6275.0,1255.0,74.8833333335,16.77931410259355,0,0,1323.0,756.0,4.743008314436886,0.25,0.6005280241140454,0.6363409663645879,0.15,4.87,0,0.32,2.7
139,7,8,1/20/2016,0,0,0900_1400,8510.0,1702.0,70.11666666599999,24.372392795380517,0,0,1897.0,2044.0,4.48603057459146,0.25,0.6005280241140454,0.9124254067979012,0.15,4.87,0,0.32,2.7
139,7,8,1/21/2016,0,0,0900_1400,9098.0,1819.6,69.416666667,26.383760495891824,0,0,2129.0,2208.0,4.273367778299671,0.25,0.6005280241140454,1.0240135430009127,0.15,4.87,0,0.32,2.7
139,7,8,1/22/2016,0,0,0900_1400,9031.0,1806.2,66.0666666655,28.65734995404045,18,19,1468.0,1904.0,6.151907356948229,0.5,0.6005280241140454,0.7060835514914702,0.15,4.87,0,0.32,2.7
139,7,8,1/23/2016,0,0,0900_1400,8519.0,1703.8,72.0666666675,23.710597048066006,0,0,1947.0,1100.0,4.3754494093477145,0.25,0.6005280241140454,0.936474574083033,0.15,4.87,0,0.32,2.7
139,7,8,1/24/2016,0,0,0900_1400,5940.0,1188.0,73.866666668,16.126000491696473,0,0,1338.0,688.0,4.439461883408072,0.25,0.6005280241140454,0.6435557165501274,0.15,4.87,0,0.32,2.7
139,7,8,1/25/2016,0,0,0900_1400,8303.0,1660.6,70.3833333335,23.636732761012937,0,0,1895.0,1816.0,4.381530343007916,0.25,0.6005280241140454,0.9114634401064959,0.15,4.87,0,0.32,2.7
139,7,8,1/26/2016,0,0,0900_1400,8230.0,1646.0,70.08333333350001,23.58884536332988,0,0,1773.0,2276.0,4.6418499717992106,0.25,0.6005280241140454,0.8527834719307743,0.15,4.87,0,0.32,2.7
139,7,8,1/27/2016,0,0,0900_1400,8820.0,1764.0,69.4500000005,25.68660207503628,0,0,2097.0,2328.0,4.206008583690987,0.25,0.6005280241140454,1.0086220759384286,0.15,4.87,0,0.32,2.7
139,7,8,1/28/2016,0,0,0900_1400,8961.0,1792.2,49.93333333300001,40.18843598299061,2,7,2800.0,1866.6666666666667,3.200357142857143,1.5,0.6005280241140454,1.3467533679673818,0.15,4.87,0,0.32,2.7
139,7,8,1/29/2016,0,0,0900_1400,9702.0,1940.4,60.199999999499994,34.37449590825172,14,19,2994.0,1996.0,3.2404809619238475,1.5,0.6005280241140454,1.4400641370336933,0.15,4.87,0,0.32,2.7
139,7,8,1/3/2016,0,0,0900_1400,8452.0,1690.4,74.0166666675,22.963417238174646,0,0,2026.0,816.0,4.171767028627838,0.25,0.6005280241140454,0.9744722583935412,0.15,4.87,0,0.32,2.7
139,7,8,1/30/2016,0,0,0900_1400,7767.0,1553.4,72.33333333350001,21.557876444443504,0,0,1729.0,1064.0,4.492192018507808,0.25,0.6005280241140454,0.8316202047198583,0.15,4.87,0,0.32,2.7
139,7,8,1/31/2016,0,0,0900_1400,6008.0,1201.6,73.49999999949999,16.39685908514194,0,0,1577.0,632.0,3.8097653772986684,0.25,0.6005280241140454,0.7585107361730575,0.15,4.87,0,0.32,2.7
139,7,8,1/4/2016,0,0,0900_1400,7311.0,1539.157894736842,60.16666666736842,28.163723749363893,10,16,2844.0,1625.142857142857,2.570675105485232,1.75,0.6005280241140454,1.3679166351782979,0.15,4.87,0,0.32,2.7
139,7,8,1/5/2016,0,0,0900_1400,7591.0,1518.2,58.48333333400001,32.27973659812882,16,19,1204.0,1204.0,6.304817275747508,1.0,0.6005280241140454,0.5791039482259742,0.15,4.87,0,0.32,2.7
139,7,8,1/6/2016,0,0,0900_1400,8070.0,1614.0,70.3,23.01363942352064,0,0,1816.0,2120.0,4.4438325991189425,0.25,0.6005280241140454,0.8734657557959876,0.15,4.87,0,0.32,2.7
139,7,8,1/7/2016,0,0,0900_1400,8323.0,1664.6,58.5,31.262955782616046,0,4,2161.0,1728.8,3.851457658491439,1.25,0.6005280241140454,1.0394050100633971,0.15,4.87,0,0.32,2.7
139,7,8,1/8/2016,0,0,0900_1400,9219.0,1843.8,66.8000000005,28.63217260143651,19,19,1434.0,1600.0,6.428870292887029,0.25,0.6005280241140454,0.6897301177375805,0.15,4.87,0,0.32,2.7
139,7,8,1/9/2016,0,0,0900_1400,7551.0,1510.2,72.4833333345,20.86729577617913,0,0,1726.0,1044.0,4.374855156431054,0.25,0.6005280241140454,0.8301772546827504,0.15,4.87,0,0.32,2.7
139,7,8,2/1/2016,0,0,0900_1400,8795.0,1759.0,68.63333333450001,25.74032512663269,0,0,2047.0,1992.0,4.296531509526136,0.25,0.6005280241140454,0.9845729086532966,0.15,4.87,0,0.32,2.7
139,7,8,2/10/2016,0,0,0900_1400,9176.0,1835.2,68.3166666675,27.333501503421303,19,19,1555.0,2256.0,5.90096463022508,0.25,0.6005280241140454,0.7479291025675996,0.15,4.87,0,0.32,2.7
139,7,8,2/11/2016,0,0,0900_1400,9686.0,1937.2,66.05000000049999,30.16815012150485,19,19,1526.0,2072.0,6.347313237221494,0.25,0.6005280241140454,0.7339805855422231,0.15,4.87,0,0.32,2.7
139,7,8,2/12/2016,0,0,0900_1400,9717.0,1943.4,54.99999999949999,38.61581298776062,13,19,3180.0,1817.142857142857,3.0556603773584907,1.75,0.6005280241140454,1.5295270393343836,0.15,4.87,0,0.32,2.7
139,7,8,2/13/2016,0,0,0900_1400,9096.0,1819.2,59.68333333299999,34.0848396456263,14,19,2653.0,1768.6666666666667,3.4285714285714284,1.5,0.6005280241140454,1.2760488161490944,0.15,4.87,0,0.32,2.7
139,7,8,2/14/2016,0,0,0900_1400,7270.0,1454.0,67.683333333,23.425584685526132,17,19,1684.0,1668.0,4.317102137767221,0.75,0.6005280241140454,0.8099759541632396,0.15,4.87,0,0.32,2.7
139,7,8,2/15/2016,0,0,0900_1400,8930.0,1786.0,69.0833333335,26.56806218438785,19,19,1517.0,1988.0,5.886618325642716,0.25,0.6005280241140454,0.7296517354308993,0.15,4.87,0,0.32,2.7
139,7,8,2/16/2016,0,0,0900_1400,8848.0,1769.6,62.85,30.153848764367446,1,4,1797.0,1797.0,4.92376182526433,1.0,0.6005280241140454,0.8643270722276376,0.15,4.87,0,0.32,2.7
139,7,8,2/17/2016,0,0,0900_1400,9276.0,1855.2,63.90000000050001,30.78027161842852,0,3,2058.0,2058.0,4.50728862973761,1.0,0.6005280241140454,0.9898637254560256,0.15,4.87,0,0.32,2.7
139,7,8,2/18/2016,0,0,0900_1400,9903.0,1980.6,66.10000000049999,30.59768486991384,19,19,1654.0,2020.0,5.9873035066505444,0.25,0.6005280241140454,0.7955464537921606,0.15,4.87,0,0.32,2.7
139,7,8,2/19/2016,0,0,0900_1400,9576.0,1915.2,54.516666667,39.166190476356505,12,19,3729.0,1864.5,2.567980691874497,2.0,0.6005280241140454,1.7935868961251311,0.15,4.87,0,0.32,2.7
139,7,8,2/2/2016,0,0,0900_1400,8419.0,1683.8,69.71666666600001,24.278267448369327,0,0,1957.0,2256.0,4.301992846193153,0.25,0.6005280241140454,0.9412844075400594,0.15,4.87,0,0.32,2.7
139,7,8,2/20/2016,0,0,0900_1400,8636.0,1727.2,61.966666667000005,30.660511348821878,16,19,1202.0,1659.0,7.184692179700499,1.0,0.6005280241140454,0.5781419815345689,0.15,4.87,0,0.32,2.7
139,7,8,2/21/2016,0,0,0900_1400,7005.0,1401.0,73.2166666665,19.210822564440498,0,0,1616.0,804.0,4.334777227722772,0.25,0.6005280241140454,0.7772690866554604,0.15,4.87,0,0.32,2.7
139,7,8,2/22/2016,0,0,0900_1400,8529.0,1705.8,68.20000000050001,25.500163406536174,0,0,1929.0,2032.0,4.421461897356143,0.25,0.6005280241140454,0.9278168738603856,0.15,4.87,0,0.32,2.7
139,7,8,2/23/2016,0,0,0900_1400,9147.0,1829.4,66.3666666665,28.401015802695024,19,19,1493.0,1996.0,6.1265907568653715,0.25,0.6005280241140454,0.7181081351340362,0.15,4.87,0,0.32,2.7
139,7,8,2/24/2016,0,0,0900_1400,9060.0,1812.0,55.86666666799999,37.00905259839236,11,15,2003.0,1602.4,4.523215177234149,1.25,0.6005280241140454,0.9634096414423806,0.15,4.87,0,0.32,2.7
139,7,8,2/25/2016,0,0,0900_1400,9740.0,1948.0,61.99999999949999,32.873527586885686,3,5,2020.0,1960.0,4.821782178217822,0.75,0.6005280241140454,0.9715863583193255,0.15,4.87,0,0.32,2.7
139,7,8,2/26/2016,0,0,0900_1400,9683.0,1936.6,58.333333331999995,36.74498313274914,14,19,2630.0,1753.3333333333333,3.6817490494296576,1.5,0.6005280241140454,1.2649861991979336,0.15,4.87,0,0.32,2.7
139,7,8,2/27/2016,0,0,0900_1400,9207.0,1841.4,65.166666666,29.860268711431484,17,19,1383.0,1844.0,6.657266811279826,0.75,0.6005280241140454,0.6651999671067461,0.15,4.87,0,0.32,2.7
139,7,8,2/28/2016,0,0,0900_1400,7105.0,1421.0,73.30000000000001,19.45835530863961,0,0,1711.0,768.0,4.1525423728813555,0.25,0.6005280241140454,0.8229625044972109,0.15,4.87,0,0.32,2.7
139,7,8,2/29/2016,0,0,0900_1400,9028.0,1805.6,69.19999999950001,26.25382620396079,0,0,2002.0,2172.0,4.50949050949051,0.25,0.6005280241140454,0.962928658096678,0.15,4.87,0,0.32,2.7
139,7,8,2/3/2016,0,0,0900_1400,8162.0,1632.4,70.083333334,23.367921379998997,0,0,1791.0,2140.0,4.5572305974316025,0.25,0.6005280241140454,0.8614411721534218,0.15,4.87,0,0.32,2.7
139,7,8,2/4/2016,0,0,0900_1400,9211.0,1842.2,68.7833333335,26.97069991292272,0,0,1542.0,2224.0,5.973411154345007,0.25,0.6005280241140454,0.7416763190734653,0.15,4.87,0,0.32,2.7
139,7,8,2/6/2016,0,0,0900_1400,7329.0,1832.25,67.7708333325,28.104557434060887,13,14,1942.0,1940.0,3.77394438722966,0.5,0.6005280241140454,0.9340696573545199,0.15,4.87,0,0.32,2.7
139,7,8,2/7/2016,0,0,0900_1400,5751.0,1150.2,74.566666667,15.469113865014885,0,0,1418.0,608.0,4.055712270803949,0.25,0.6005280241140454,0.6820343842063383,0.15,4.87,0,0.32,2.7
139,7,8,2/8/2016,0,0,0900_1400,8826.0,1765.2,69.5500000005,25.675289417979712,0,0,2020.0,2120.0,4.369306930693069,0.25,0.6005280241140454,0.9715863583193255,0.15,4.87,0,0.32,2.7
139,7,8,2/9/2016,0,0,0900_1400,8881.0,1776.2,66.1833333325,28.15074357091803,18,19,1396.0,1846.0,6.361747851002866,0.5,0.6005280241140454,0.6714527506008804,0.15,4.87,0,0.32,2.7
78,3,4,1/1/2016,0,0,1400_1800,3591.0,897.75,71.41666666625,12.568024271615318,0,0,836.0,1016.0,4.295454545454546,0.25,1.0065309290188134,0.402102077007404,0.47,4.0,0,0.32,2.7
78,3,4,1/10/2016,0,0,1400_1800,4977.0,1244.25,71.104166665625,17.50420623991186,0,0,1283.0,1120.0,3.8791893998441154,0.25,1.0065309290188134,0.6171016325364824,0.47,4.0,0,0.32,2.7
78,3,4,1/12/2016,0,0,1400_1800,4295.0,1073.75,29.7708333333125,56.86966652738775,3,15,2960.0,910.7692307692307,1.4510135135135136,3.25,1.0065309290188134,1.4237107032798038,0.47,4.0,0,0.32,2.7
78,3,4,1/13/2016,0,0,1400_1800,4379.0,1094.75,31.270833332874997,50.502499238141745,3,15,3028.0,931.6923076923077,1.4461690885072656,3.25,1.0065309290188134,1.4564175707875828,0.47,4.0,0,0.32,2.7
78,3,4,1/14/2016,0,0,1400_1800,4405.0,1101.25,30.083333333,55.77474366067714,3,15,3017.0,928.3076923076923,1.4600596619158104,3.25,1.0065309290188134,1.451126753984854,0.47,4.0,0,0.32,2.7
78,3,4,1/16/2016,0,0,1400_1800,4316.0,1079.0,23.6666666675,53.8118052185072,0,14,3980.0,1061.3333333333333,1.0844221105527638,3.75,1.0065309290188134,1.9143137158964927,0.47,4.0,0,0.32,2.7
78,3,4,1/17/2016,0,0,1400_1800,4881.0,1220.25,70.729166666875,17.25182211197116,0,0,844.0,1268.0,5.783175355450237,0.25,1.0065309290188134,0.40594994377302507,0.47,4.0,0,0.32,2.7
78,3,4,1/18/2016,0,0,1400_1800,6329.0,1582.25,52.916666667499996,30.16098212965765,7,15,3285.0,1460.0,1.9266362252663622,2.25,1.0065309290188134,1.5800302906331605,0.47,4.0,0,0.32,2.7
78,3,4,1/19/2016,0,0,1400_1800,4768.0,1192.0,33.12500000125,46.28582895064808,2,15,3839.0,1096.857142857143,1.2419901015889554,3.5,1.0065309290188134,1.846495064152421,0.47,4.0,0,0.32,2.7
78,3,4,1/2/2016,0,0,1400_1800,5322.0,1330.5,71.083333333125,18.71705007686137,0,0,1290.0,1324.0,4.125581395348838,0.25,1.0065309290188134,0.620468515956401,0.47,4.0,0,0.32,2.7
78,3,4,1/20/2016,0,0,1400_1800,4507.0,1126.75,31.875,52.556073720344465,3,15,3131.0,963.3846153846154,1.4394762056850847,3.25,1.0065309290188134,1.5059588553949546,0.47,4.0,0,0.32,2.7
78,3,4,1/21/2016,0,0,1400_1800,4290.0,1072.5,31.833333333937496,48.48431973833017,3,15,2958.0,910.1538461538462,1.4503042596348885,3.25,1.0065309290188134,1.4227487365883984,0.47,4.0,0,0.32,2.7
78,3,4,1/22/2016,0,0,1400_1800,4689.0,1172.25,33.0625,40.736370604495605,2,15,3791.0,1083.142857142857,1.2368768135056714,3.5,1.0065309290188134,1.8234078635586946,0.47,4.0,0,0.32,2.7
78,3,4,1/23/2016,0,0,1400_1800,6718.0,1679.5,55.29166666625,31.014845947575132,4,15,5162.0,1720.6666666666667,1.3014335528864782,3.0,1.0065309290188134,2.4828360305170087,0.47,4.0,0,0.32,2.7
78,3,4,1/24/2016,0,0,1400_1800,4613.0,1153.25,71.47916666625,16.130470490933018,0,0,1097.0,1116.0,4.20510483135825,0.25,1.0065309290188134,0.5276387302357921,0.47,4.0,0,0.32,2.7
78,3,4,1/25/2016,0,0,1400_1800,4191.0,1047.75,29.062499998750003,52.77684883755977,2,15,3313.0,946.5714285714286,1.265016601267733,3.5,1.0065309290188134,1.5934978243128344,0.47,4.0,0,0.32,2.7
78,3,4,1/26/2016,0,0,1400_1800,4525.0,1131.25,34.229166667125,43.23723657788777,4,15,2783.0,927.6666666666666,1.6259432267337406,3.0,1.0065309290188134,1.338576651090437,0.47,4.0,0,0.32,2.7
78,3,4,1/27/2016,0,0,1400_1800,4464.0,1116.0,34.5416666669375,46.01125784209176,2,15,3540.0,1011.4285714285714,1.2610169491525425,3.5,1.0065309290188134,1.7026810437873328,0.47,4.0,0,0.32,2.7
78,3,4,1/28/2016,0,0,1400_1800,5103.0,1275.75,49.89583333375,26.742686928668455,3,12,3056.0,1222.4,1.6698298429319371,2.5,1.0065309290188134,1.4698851044672567,0.47,4.0,0,0.32,2.7
78,3,4,1/3/2016,0,0,1400_1800,4958.0,1239.5,70.85416666687499,17.511699532871848,0,0,1123.0,1588.0,4.414959928762244,0.25,1.0065309290188134,0.5401442972240607,0.47,4.0,0,0.32,2.7
78,3,4,1/30/2016,0,0,1400_1800,6214.0,1553.5,66.874999999375,23.6326026274692,14,15,1596.0,1568.0,3.893483709273183,0.5,1.0065309290188134,0.7676494197414077,0.47,4.0,0,0.32,2.7
78,3,4,1/31/2016,0,0,1400_1800,5143.0,1285.75,70.70833333375,18.183920153381262,0,0,1177.0,1328.0,4.369583687340697,0.25,1.0065309290188134,0.566117397892003,0.47,4.0,0,0.32,2.7
78,3,4,1/4/2016,0,0,1400_1800,4455.0,1113.75,37.6041666670625,39.44380911994788,6,15,2147.0,858.8,2.0749883558453655,2.5,1.0065309290188134,1.0326712432235603,0.47,4.0,0,0.32,2.7
78,3,4,1/5/2016,0,0,1400_1800,3933.0,983.25,23.749999999125,65.6743808551831,1,15,3527.0,940.5333333333333,1.1151119931953501,3.75,1.0065309290188134,1.6964282602931984,0.47,4.0,0,0.32,2.7
