link_id,from_node_id,to_node_id,FT,AT,period,vol_period,vol_period_hourly,speed_period,density_period,t0,t3,Demand,VOC,VOC_period,alpha,beta,peak_factor,period_cap,vol_valid,demand_est
103,4,5,1,1,0900_1400,10714.0,714.2666666666667,54.76833333333333,13.034848603316172,0.0,0.0,612.0,0.593332015491597,0.9293946111657087,0.15,4.58,17.50653594771242,18057.343477619466,896.6130182250533,10714.0
104,5,6,1,1,0900_1400,11006.0,733.7333333333333,60.04833333333333,12.234659522754901,0.0,0.0,760.0,0.7368175355778002,0.9293946111657087,0.15,4.58,14.48157894736842,14937.212360682046,972.3881623494308,11006.0
105,6,7,1,1,0900_1400,9965.0,664.3333333333334,57.25333333333333,11.910312030985468,0.0,6.0,1311.0,1.2710102488717052,0.9293946111657087,0.15,4.58,7.601067887109077,7840.220020921216,967.4404151752979,9965.0
107,9,10,1,1,0900_1400,11427.0,761.8,59.336666666666666,13.174701776726815,0.0,6.0,1442.0,1.3980143240831417,0.9293946111657087,0.15,4.58,7.924410540915395,8173.735993366274,903.1296470143078,11426.999999999998
108,11,12,1,1,0900_1400,11617.0,774.4666666666667,46.80833333333332,16.88818599378663,0.0,13.0,2857.0,2.769852235718125,0.9293946111657087,0.15,4.58,4.066153307665383,4194.086547359852,287.8574112599644,11617.0
109,12,13,1,1,0900_1400,10290.0,686.0,53.57,13.037581486153906,3.0,11.0,1611.0,1.5618592760734684,0.9293946111657087,0.15,4.58,6.387337057728119,6588.301620789533,805.17326285797,10290.0
101,2,3,1,1,1400_1800,9349.0,779.0833333333334,36.37708333333333,25.241131448740727,16.0,47.0,6203.0,6.013788385775124,1.3212311598482904,0.15,4.59,1.507173948089634,1554.5941094491964,49.78348841672029,9348.999999999998
102,3,4,1,1,1400_1800,10131.0,844.25,37.81666666666667,23.49012492096264,15.0,47.0,6822.0,6.613906878568096,1.3212311598482904,0.15,4.59,1.4850483729111696,1531.7723980706169,40.032682292851035,10131.0
103,4,5,1,1,1400_1800,10582.0,881.8333333333334,44.00208333333334,20.87288116176801,21.0,47.0,5904.0,5.7239088553307,1.3212311598482904,0.15,4.59,1.7923441734417345,1848.7366356550103,55.74783276940213,10582.0
104,5,6,1,1,1400_1800,10803.0,900.25,50.916666666666664,18.45292410658363,32.0,47.0,3603.0,3.493096816693176,1.3212311598482904,0.15,4.59,2.9983347210657785,3092.671221814836,171.5323527807684,10803.0
105,6,7,1,1,1400_1800,8000.0,666.6666666666666,60.97291666666666,10.943654738595063,0.0,0.0,640.0,0.6204779246970948,1.3212311598482904,0.15,4.59,12.5,12893.287064008671,912.5543151456646,7999.999999999999
107,9,10,1,1,1400_1800,8806.0,733.8333333333334,63.13958333333333,11.63001912308326,0.0,0.0,745.0,0.722275084217712,1.3212311598482904,0.15,4.59,11.82013422818792,12192.030699131314,965.7056639189615,8806.0
108,11,12,1,1,1400_1800,8818.0,734.8333333333334,48.83958333333334,15.10188612280195,21.0,24.0,803.0,0.7785058961433862,1.3212311598482904,0.15,4.59,10.9813200498132,11326.824939519649,989.0422488681415,8818.0
109,12,13,1,1,1400_1800,8114.0,676.1666666666666,54.99375,12.376826470478742,21.0,22.0,696.0,0.6747697431080907,1.3212311598482904,0.15,4.59,11.658045977011493,12024.84267096165,942.5656610672893,8114.0
100,1,2,1,1,1800_0600,9874.0,290.4117647058824,34.63823529411765,10.839867646097362,15.0,135.0,9385.0,9.098727067628493,1.1412556557135418,0.15,4.39,1.05210442194992,1085.2067466810581,24.019405305331716,9874.000000000002
101,2,3,1,1,1800_0600,9579.0,281.7352941176471,59.277205882352945,5.898209627830689,64.0,73.0,1735.0,1.6820768739835306,1.1412556557135418,0.15,4.39,5.5210374639769455,5694.745673136095,752.9504208441766,9579.0
102,3,4,1,1,1800_0600,11051.0,325.02941176470586,57.44117647058823,6.471017181264222,64.0,72.0,1842.0,1.7858130270188262,1.1412556557135418,0.15,4.39,5.999457111834962,6188.217821687724,693.9092436742778,11051.0
103,4,5,1,1,1800_0600,10936.0,321.6470588235294,59.60588235294117,6.0862160556571805,64.0,71.0,1707.0,1.6549309647780326,1.1412556557135418,0.15,4.39,6.406561218512009,6608.130630673642,768.694270584066,10936.0
104,5,6,1,1,1800_0600,11169.0,328.5,65.42426470588235,5.412598070265438,64.0,69.0,1314.0,1.2739187391437228,1.1412556557135418,0.15,4.39,8.5,8767.435203525896,971.7110641565881,11168.999999999998
105,6,7,1,1,1800_0600,8781.0,258.2647058823529,67.22720588235293,3.953716745998513,0.0,0.0,654.0,0.6340508792998438,1.1412556557135418,0.15,4.39,13.426605504587156,13849.046325267296,927.5444767256486,8781.0
107,9,10,1,1,1800_0600,9712.0,285.6470588235294,66.59926470588235,4.302889993029192,0.0,0.0,677.0,0.6563493047186456,1.1412556557135418,0.15,4.39,14.345642540620384,14796.998991509863,939.2908076484714,9711.999999999998
108,11,12,1,1,1800_0600,9896.0,291.05882352941177,57.9610294117647,5.230104774614203,0.0,0.0,692.0,0.6708917560787339,1.1412556557135418,0.15,4.39,14.300578034682081,14750.516622593042,946.6173298573354,9896.0
109,12,13,1,1,1800_0600,8693.0,255.6764705882353,65.08382352941177,4.076049662607085,0.0,0.0,657.0,0.6369593695718614,1.1412556557135418,0.15,4.39,13.231354642313546,13647.652291924187,929.1113907428436,8693.0
110,13,14,1,1,1800_0600,9038.0,265.8235294117647,37.30661764705882,8.123756767737055,44.0,135.0,8315.0,8.061365537275536,1.1412556557135418,0.15,4.39,1.0869512928442573,1121.1500034589092,31.325301761839672,9037.999999999998
